hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone_number,credit_card
Resort Hotel,0,7,2015,July,27,1,0,1,1,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,75.0,0,0,Check-Out,2015-07-02,Rebecca Parker,Rebecca_Parker@comcast.net,652-885-2745,************3734
Resort Hotel,0,0,2015,July,27,1,0,1,2,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,,110.0,0,Transient,107.42,0,0,Check-Out,2015-07-02,Curtis Rodriguez,CRodriguez@verizon.com,466-424-2102,************1179
Resort Hotel,0,118,2015,July,27,1,4,10,1,0.0,0,BB,,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,62.0,0,2,Check-Out,2015-07-15,Diamond Wilson,Wilson.Diamond@comcast.net,870-563-6202,************8017
Resort Hotel,0,2,2015,July,28,6,1,0,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,A,E,0,No Deposit,,,0,Transient,131.0,0,0,Check-Out,2015-07-07,Tracey Hebert,Tracey.Hebert39@xfinity.com,111-308-0722,************5219
Resort Hotel,0,80,2015,July,28,6,3,8,1,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,73.0,0,0,Check-Out,2015-07-17,Mary Robinson,Robinson_Mary34@att.com,888-249-8421,************1563
Resort Hotel,0,8,2015,July,28,7,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0,1,Check-Out,2015-07-07,Veronica Howard,VHoward23@gmail.com,111-927-4772,************2370
Resort Hotel,0,0,2015,July,28,7,0,4,2,0.0,0,BB,NLD,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,98.0,0,0,Check-Out,2015-07-11,Daniel Gilbert,DGilbert@xfinity.com,745-933-4870,************8757
Resort Hotel,1,1,2015,July,28,8,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,110.0,0,Transient,104.72,0,1,Canceled,2015-07-08,Amanda Myers,AmandaMyers@att.com,692-752-0185,************8187
Resort Hotel,1,1,2015,July,28,8,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,110.0,0,Transient,104.72,0,1,Canceled,2015-07-08,Joshua Patrick,JoshuaPatrick@xfinity.com,868-836-9111,************9404
Resort Hotel,0,1,2015,July,28,8,0,2,2,0.0,0,BB,CHE,Corporate,Corporate,0,0,0,A,F,0,No Deposit,,110.0,0,Transient,104.72,1,1,Check-Out,2015-07-10,Martin Mcknight,Mcknight.Martin17@comcast.net,880-037-2943,************5090
Resort Hotel,0,0,2015,July,28,11,0,1,1,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,123.0,0,0,Check-Out,2015-07-12,Zachary Kelly,Zachary_Kelly@yandex.com,812-444-6462,************4187
